name,link,streams_total,streams_daily,streams_en_tant_que_numero_un,streams_solo,streams_en_featuring,Total Points,Apple Music,Spotify,iTunes,YouTube,Shazam,Deezer,Top Country
Drake,/spotify/artist/3TVXtAsR1Inumwj472S9r4_songs.html,126389300000,55068000,86376800000,47985200000,40012400000,2071,1445,427,149,4,3,42,United States
Taylor Swift,/spotify/artist/06HL4z0CvFAxyc27GXpf02_songs.html,118838600000,59759000,115203400000,105264300000,3635100000,6674,3342,1550,1062,271,236,213,Australia
Bad Bunny,/spotify/artist/4q3ewBCX7sLwd24euuV69X_songs.html,112878600000,60493000,72700300000,42279000000,40178200000,4728,2233,1937,99,205,48,208,Chile
The Weeknd,/spotify/artist/1Xyo4u8uXC1ZmMpatF05PJ_songs.html,89234800000,40548000,71876100000,47853200000,17358700000,1861,1071,646,56,60,13,15,Canada
Justin Bieber,/spotify/artist/1uNFoZAHBGtllmzznpCI3s_songs.html,70507400000,29135000,42331000000,26067900000,28176400000,994,414,410,59,13,49,49,Philippines
Ariana Grande,/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_songs.html,63289100000,28177000,52701300000,38360300000,10587800000,1346,903,335,44,0,5,59,Philippines
Ed Sheeran,/spotify/artist/6eUKZXaKkcviH0Ku9w2n3V_songs.html,61889100000,16085000,55232500000,44571100000,6656600000,1138,591,238,203,21,47,39,New Zealand
Travis Scott,/spotify/artist/0Y5tJX1MQlPlqiwlOH1tJY_songs.html,61646900000,20959000,33435000000,24043300000,28211900000,338,282,41,10,0,1,3,Romania
Eminem,/spotify/artist/7dGJo4pcD2V6oG8kP0tJRR_songs.html,61373800000,20909000,51604100000,31283500000,9769700000,243,87,86,54,3,3,9,Germany
Kanye West,/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html,60247100000,23887000,42681600000,26645000000,17565500000,461,248,165,35,7,3,4,United States
Rihanna,/spotify/artist/5pKCCKE2ajJHZ9KAiaK11H_songs.html,55312400000,28905000,40643800000,27247800000,14668500000,792,154,514,81,19,9,14,Germany
Billie Eilish,/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_songs.html,54172500000,24099000,53372400000,48026300000,800100000,1691,948,555,63,9,24,91,Netherlands
Kendrick Lamar,/spotify/artist/2YZyLoL8N0Wb9xBt1NhZWg_songs.html,52995900000,20643000,38117800000,22102200000,14878000000,759,536,137,30,1,2,53,United States
Post Malone,/spotify/artist/246dkjvS1zLTtiykXe5h60_songs.html,52803200000,13018000,46808700000,24543200000,5994500000,253,97,88,28,11,2,26,United States
J Balvin,/spotify/artist/1vyhD5VmyZ7KMfW5gqLgo5_songs.html,51404600000,16906000,23618500000,7384500000,27786100000,378,187,143,12,13,11,12,Colombia
Future,/spotify/artist/1RyvyyTE3xzB2ZywiAwp0i_songs.html,50546300000,20855000,26121900000,11732600000,24424400000,281,247,13,17,0,2,3,United States
Bruno Mars,/spotify/artist/0du5cEVh5yTK9QJze8zA0C_songs.html,49880300000,41398000,35542900000,28993900000,14337400000,3479,1220,1346,563,192,99,60,Netherlands
BTS,/spotify/artist/3Nrfpe0tUJi4K4DXYWgMUX_songs.html,46375500000,22676000,41287900000,37599300000,5087600000,759,393,218,120,0,0,28,Venezuela
Ozuna,/spotify/artist/1i8SpTcr7yvPOmcqrbnVXY_songs.html,44667800000,17342000,18940500000,8044700000,25727400000,378,164,202,6,0,4,2,Spain
Juice WRLD,/spotify/artist/4MCBfE4596Uoi2O4DtmEMz_songs.html,44335900000,12293000,32628300000,25487600000,11707600000,0,0,0,0,0,0,0,
Coldplay,/spotify/artist/4gzpq5DPGxSnKTe4SA8HAU_songs.html,43593200000,19551000,39933400000,35862600000,3659800000,552,126,309,104,0,5,8,Netherlands
Chris Brown,/spotify/artist/7bXgB6jMjp9ATFy66eO08Z_songs.html,41019200000,17522000,22623700000,11294900000,18395500000,340,241,25,38,16,8,13,South Africa
Nicki Minaj,/spotify/artist/0hCNtLu0JehylgoiP8L4Gh_songs.html,41004400000,10995000,15607700000,9148400000,25396700000,0,0,0,0,0,0,0,
Dua Lipa,/spotify/artist/6M2wZ9GZgrQXHCFfjv46we_songs.html,39678000000,13843000,26682900000,21793700000,12995100000,484,241,188,24,3,1,27,Australia
David Guetta,/spotify/artist/1Cs0zKBU1kc0i8ypK3B9ai_songs.html,39262200000,15608000,28688000000,375500000,10574200000,462,99,112,147,7,75,22,Germany
Lana Del Rey,/spotify/artist/00FQb4jTyendYWaN8pK0wa_songs.html,38862100000,20829000,35089600000,31474800000,3772600000,572,318,160,35,0,55,3,Germany
XXXTENTACION,/spotify/artist/15UsOTVnJzReFVN1VCnxy4_songs.html,38818400000,9787000,33172000000,27116600000,5646400000,0,0,0,0,0,0,0,
Imagine Dragons,/spotify/artist/53XhwfbYqKCa1cC15pYq2q_songs.html,38387300000,11788000,36204400000,32260100000,2182800000,0,0,0,0,0,0,0,
Lil Wayne,/spotify/artist/55Aa2cqylxrFIXC767Z865_songs.html,37908400000,14751000,14758500000,4045700000,23149900000,0,0,0,0,0,0,0,
Daddy Yankee,/spotify/artist/4VMYDCV2IEDYJArk749S6m_songs.html,37664400000,14411000,18150300000,9743300000,19514100000,296,83,112,20,70,8,3,Chile
Rauw Alejandro,/spotify/artist/1mcTU81TzQhprhouKaTkpq_songs.html,37486000000,18686000,22769500000,9472900000,14716500000,771,371,374,6,1,5,16,Mexico
21 Savage,/spotify/artist/1URnnhqYAYcrqrcwql10ft_songs.html,37238700000,12434000,15234500000,7580900000,22004200000,294,275,14,2,0,2,1,United States
